MODÜL,KONU / DOSYA ADI,İÇERİK (METİN / TABLO),KAYNAK LİNK
HAKKIMIZDA,Bilgisayar Mühendisliği,"Bölüm Başkanı:
Doç. Dr. Ahmet BABALIK
Bölüm Başkan Yardımcısı:
Doç. Dr. Ersin KAYA , Doç. Dr. Sait Ali UYMAZ
Erasmus Koordinatör:
Doç.Dr. Ersin KAYA
Farabi Koordinatör:
Dr. Öğr. Üyesi Sedat KORKMAZ
Çift Anadal & Yandal Koordinatörü:
Doç.Dr. Sait Ali UYMAZ
Bölüm Tanıtım Videosu:
Türkçe
English
Français
عربي
Amacı:
Bilgisayar Mühendisliği Bölümü, Bilgisayar Mühendisliği mesleğine temel ve daimi katkılarda bulunabilecek yeteneklere haiz mühendisler yetiştirmeyi hedeflemektedir. Programın daha ileri amacı ise öğrencilerine mezuniyetlerinden sonra da şahsi gelişimlerini devam ettirebilme yeteneğini kazandırmaktır. Bu lisans programı öğrencilerinin kavrama gücünü, uzmanlıklarını ve profesyonelliklerini sürekli geliştirmelerini sağlayacak gerekli teknik yeterlilikleri, araçları ve şahsi imkanları sağlama amacındadır. Ayrıca öğrencilerin ERASMUS ve FARABİ gibi uluslararası ve ulusal eğitim projelerine katılımları destekleyerek onlara uluslararası ve ulusal kültürel ve akademik kazanımları hedefler.
Vizyon:
Konya Teknik Üniversitesi Mühendislik ve Doğa Bilimleri Fakültesi Bilgisayar Mühendisliği Bölümünün vizyonu sırasıyla bölgede ve ülkemizde bilgisayar bilimleri ve mühendisliği alanında bir mükemmeliyet merkezi haline gelmektir. Akademik kadrosunun zenginliği, uzmanlık alanlarının genişliği, açılan derslerin çeşitliliği, yapılan bilimsel yayın ve yürütülen proje sayısı, yüksek lisans ve doktora programlarının kalitesi, laboratuvar ve araştırma imkanları, uluslararası programlardaki ortaklıkları gibi bir çok açıdan önde gelen ve iyi tanınan bir bölüm haline gelmektir.
Misyon:
Konya Teknik Üniversitesi Mühendislik ve Doğa Bilimleri Fakültesi Bilgisayar Mühendisliği Bölümünün misyonu yenilikçi ve özgün eğitim ve araştırma imkanları hazırlamak, bilgisayar mühendisliği alanındaki en güncel bilgilere sahip olmak, yeni bilgiler üretebilmek ve bu bilgiyi yaymak, bilgisayar teknolojilerini takip ederek yetkin bir şekilde kullanabilen, problemlere bağımsız çözümler üretebilen bilgisayar mühendisleri yetiştirmektir.
Program Dili:
Türkçe
Program Tanımı:
Bilgisayar ve internet insan ve toplum hayatını büyük ölçüde etkiliyor. Yirminci yüzyılın ikinci yarısından itibaren yaşantımız ışık hızıyla bilgisayar bağımlı oldu. Artık ?bilgisayar çağı?, ?bilgi çağı? ya da ?internet çağı? diye adlandırılan bir zamanda yaşıyoruz. Bilgisayar Mühendisliği Bölümü genç parlak beyinlerin kendilerini bilgisayar bilimleri, bilgisayar yazılımı ve donanımı anabilim dallarında geliştirmeleri için benzersiz bir fırsat sunar. Bilgisayar Mühendisliği Ders Programı, Türkiyede ve yurt dışındaki örneklerinin ders programları ve programlarda yer alan ders içerikleri dikkatle incelenerek hazırlanmıştır. Açılması önerilen bu program, gerek yurt içindeki gerekse yurt dışındaki üniversitelerde uzun yıllardan beri eğitim veren ve bilimsel açıdan sosyal bilimlerde önemli bir yer tutan bir bölümdür. Bölümde yer alacak olan dersler hazırlanırken, örnek olarak verilen üniversitelerin ilgili bölümlerinde yer alan temel derslerin yanı sıra seçmeli dersler de özenle incelenmiştir. Bunun yanında, bölümden mezun olacak olan öğrencilerin çalışabilecekleri alanlarda yapılan sınavların içeriği de gözden geçirilmiştir. Böylece, hazırlanan programda yer alan derslerin alanla ilgili son gelişmeleri ve bölüm mezunlarının iş hayatında ihtiyaç duyacakları bilgi ve becerileri mümkün olduğunca tatmin edici düzeyde kapsamasına çalışılmıştır. Bu bağlamda, öğrenciler veri yapıları ve algoritma analizleri, işletim sistemleri, programlama dilleri, veri tabanları, bilgisayar ağları ve internet gibi önemli ara konuların temelini teşkil eden fonksiyonel ve nesneye yönelik programlama ve algoritma tasarımı gibi giriş dersleriyle başlarlar. Ayrıca kendilerini daha da geliştirmek ve ilerideki çalışmalarına yardımcı olması için matematik, fen ve diğer mühendislik dallarından dersler alırlar. Programımız, Bilgisayar Mühendisliğinde belirli konularda bilgi ve uzmanlıkta derinleşmek isteyen öğrencileri ilgi alanlarına göre değişik biçimlerde çalışmalarını sağlayan tercihler planlanmaktadır. Bu tercihler beş grupta toplanmaktadır. 1. Mutimedya Sistemleri Tercih Grubu 2. Bilgi Güvenliği ve Ağ sistemleri Tercih Grubu 3. Dağıtık ve Gömülü Sistemler Tercih Grubu 4. Akıllı Sistemler Tercih Grubu 5. Yazılım ve Veritabanı Sistemleri Tercih Grubu Öğrencilerimiz son senede ayrıca gerçek yaşantıda karşılaşacakları türden kapsamlı bir proje yapabilicekleri bir bitirme projesi alırlar. Bölümdeki öğretim üyeleri, bilgisayar bilimleri ve mühendisliğinde ne teori ne de pratiğin yalnız başına yeterli olmayacağına inanırlar. Bu nedenle dersler, öğrencilerin bölümdeki konuları tam kavrayabilmelerini sağlamak amacı ile belli bir teori ve pratik dengesinde hazırlanır. Bu bağlamda Bilgisayar ve Yazılım Sistemleri Laboratuvarı, Ağ sistemleri Laboratuvarı, Sayısal Sistemler Laboratuvarı, Elektronik Sistemler Laboratuvarı ile Araştırma Laboratuvarı olmak üzere 5 adet laboratuvar lisans öğrencilerin kullanımına açıktır. Öğrenciler ögrenim hayatları süresince bu laboratuvarları ödevleri, projeleri, ve araştırmaları için veya eğlence amaçlı kullanabilirler. Bologna kriterlerine uygun Bilgisayar Mühendisliği Lisans derecesi alınabilmesi için öğrencilerin yerine getirmesi gereken şartlar bilgisayar mühendisliği zorunlu derslerinden 200 AKTS, teknik ve teknik olmayan seçmeli derslerden 40 AKTS almalarıdır. Mezun olabilmek için gerekli olan toplam AKTS 240dır. Ayrıca öğrenciler, bilgisayarla alakalı bir şirkette, toplam 60 (30x2) işgününden oluşan iki adet endüstriyel stajı tamamlamalıdırlar.
Kabul Kayıt Koşulları:
Konya Teknik Üniversitesi Mühendislik ve Doğa Bilimleri Fakültesi Bilgisayar Mühendisliği Bölümüne kabul edilecek adayların lise veya lise dengi okullardan mezun olmaları beklenmektedir. Eğer aday yabancı ülke lise diplomasına sahipse bu diplomanın denkliğinin Milli Eğitim Bakanlığınca onaylanması gerekir. Öğrenci Seçme Sınavı sonucunda o öğretim yılında Konya Teknik Üniversitesi Mühendislik ve Doğa Bilimleri Fakültesi Bilgisayar Mühendisliği Bölümü için geçerli olan puan ve şartları sağlayan adaylarla, Konya Teknik Üniversitesi Üniversitesi Yurtdışından Öğrenci Kabul Yönergesi hükümlerine göre bölüme kayıt hakkı kazanan öğrenciler kayıt için ÖSYMde belirtilen belgeleri getirmek suretiyle kayıtlarını yaptırabilirler. Bilgisayar mühendisliği lisans bölümüne kayıt yaptıracakların Konya Teknik Üniversitesi Önlisans Ve Lisans Eğitim-Öğretim ve Sınav Yönetmeliğinde belirtildiği üzere aynı zamanda bir başka örgün ya da kontenjan sınırlaması olan açık öğretim ya da uzaktan eğitim lisans programında kayıtlı olmamaları gerekmektedir.
Önceki Öğrenmenin Tanınması:
Bölüme yatay ve dikey geçişle gelen öğrencilerin önceki öğrenmeleri, oluşturulan intibak komisyonu tarafından bölüm müfredatına göre değerlendirilerek öğrencilerin intibakı gerçekleştirilir. Bölümde çift anadal ya da yandal yapacak öğrencilerin önceki öğrenimleri ise, Yüksek Öğretim Kurumlarında Ön Lisans Ve Lisans Düzeyindeki Programlar Arasında Geçiş, Çift Anadal, Yan Dal İle Kurumlar Arası Kredi Transferi Yapılması Esaslarına İlişkin Yönetmelik hükümlerine göre değerlendirilmektedir.
Mezuniyet Şartları:
Bilgisayar Mühendisliği Programından bir öğrencinin mezun olması için programda öngörülen mezuniyeti için gerekli olan dersleri almış ve başarmış olması, uygulamaları, staj ve benzeri çalışmaları başarı ile tamamlaması ve mezuniyet ağırlıklı not ortalamasının en az 2.00 olması gerekir.
Ölçme ve Değerlendirme Esasları:
Bilgisayar Mühendisliği Programı ölçme ve değerlendirme esasları Konya Teknik Üniversitesi Önlisans ve Lisans Öğretim ve Sınav Yönetmeliğine göre belirlenmektedir.
İstihdam olanakları:
Bölümden mezun olan öğrenciler özel veya kamuya ait araştırma geliştirme merkezleri (ARGE), endüstri, yönetim ve hizmet sektörleri başta olmak üzere pek çok alanda farklı pozisyonlarda (yazılım geliştirici, yazılım mühendisi, kalite/test mühendisi, sistem analisti, sistem uzmanı, arayüz geliştirici, veritabanı yöneticisi, veri iletişim uzmanı) çalışma imkanı bulabilmektedir.
Üst Derece Programlara Geçiş:
Bölüme yatay ve dikey geçişle gelen öğrencilerin önceki öğrenmeleri, oluşturulan intibak komisyonu tarafından bölüm müfredatına göre değerlendirilerek öğrencilerin intibakı gerçekleştirilir. Bölümde çift anadal ya da yandal yapacak öğrencilerin önceki öğrenimleri ise, Yüksek Öğretim Kurumlarında Ön Lisans Ve Lisans Düzeyindeki Programlar Arasında Geçiş, Çift Anadal, Yan Dal İle Kurumlar Arası Kredi Transferi Yapılması Esaslarına İlişkin Yönetmelik hükümlerine göre değerlendirilmektedir.",https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==
BÖLÜM DERSLERİ,DÖNEM 1,"Ders Kodu | Ders Adı | AKTS (ECTS) | Dersin Koordinatörü
BBF101 | Matematik I | 7 | Prof. Dr. Abdullah Selçuk Kurbanlı
BBF102 | Fizik I | 6 | Dr. Öğr. Üyesi Yalçın Güler
BBF103 | Türk Dili ve Edebiyatı I | 2 | Öğr. Gör. Ayşe Ünal
BBF104 | Atatürk İlkeleri ve İnkılap Tarihi I | 2 | Öğr. Gör. Tuba Özdinç
BBF105 | İngilizce I | 3 | Öğr. Gör. Mehtap Yorgancı
BBF106 | İş Sağlığı ve Güvenliği I | 2 | Prof. Dr. Tevfik Ağaçayak
BIL101 | Bilgisayar Mühendisliğine Giriş | 3 | Doç. Dr. Sait Ali Uymaz
BIL102 | Algoritma ve Programlama I | 5 | Prof. Dr. İsmail Babaoğlu",https://www.ktun.edu.tr/tr/Birim/BolumDersleri/?brm=Vcw5fqYY6fahuCPJwVMF/A==
BÖLÜM DERSLERİ,DÖNEM 2,"Ders Kodu | Ders Adı | AKTS (ECTS) | Dersin Koordinatörü
BBF201 | Matematik II | 8 | Prof. Dr. Abdullah Selçuk Kurbanlı
BBF202 | Fizik II | 6 | Dr. Öğr. Üyesi Yalçın Güler
BBF203 | Türk Dili ve Edebiyatı II | 2 | Öğr. Gör. Ümit Karul
BBF204 | Atatürk İlkeleri ve İnkılap Tarihi II | 2 | Öğr. Gör. Tuba Özdinç
BBF205 | İngilizce II | 3 | Öğr. Gör. Mehtap Yorgancı
BBF206 | İş Sağlığı ve Güvenliği II | 2 | Prof. Dr. Tevfik Ağaçayak
BIL201 | Algoritma ve Programlama II | 7 | Prof. Dr. İsmail Babaoğlu",https://www.ktun.edu.tr/tr/Birim/BolumDersleri/?brm=Vcw5fqYY6fahuCPJwVMF/A==
BÖLÜM DERSLERİ,DÖNEM 3,"Ders Kodu | Ders Adı | AKTS (ECTS) | Dersin Koordinatörü
BBF301 | Lineer Cebir | 6 | Prof. Dr. Dağıstan Şimşek
BIL301 | Ayrık Matematik | 6 | Doç. Dr. Nurdan Baykan
BIL302 | Temel Elektronik | 5 | Prof. Dr. Gülay Tezel
BIL303 | Lojik Tasarım | 5 | Doç. Dr. Ahmet Babalık
BIL304 | Veri Yapıları | 4 | Prof. Dr. Halife Kodaz
BIL305 | Nesneye Yönelik Programlama | 4 | Prof. Dr. Mustafa Servet Kıran",https://www.ktun.edu.tr/tr/Birim/BolumDersleri/?brm=Vcw5fqYY6fahuCPJwVMF/A==
BÖLÜM DERSLERİ,DÖNEM 4,"Ders Kodu | Ders Adı | AKTS (ECTS) | Dersin Koordinatörü
BBF401 | Diferansiyel Denklemler | 6 | Prof. Dr. Dağıstan Şimşek
BBF402 | İstatistik ve İhtimaller Teorisi | 5 | Dr. Öğr. Üyesi Fatma Zehra Solak
BBF403 | Kombinatorik | 5 | Prof. Dr. Erkan Ülker
BBF430 | Girişimcilik | 2 | Doç. Dr. Sait Ali Uymaz
BBF431 | Kariyer Planlama | 2 | Prof. Dr. Mustafa Servet Kıran
BBF432 | Bilim Felsefesi | 2 | Prof. Dr. Mustafa Servet Kıran
BIL401 | Mikroişlemciler | 4 | Doç. Dr. Ahmet Babalık
BIL402 | Görsel Programlama Dilleri | 4 | Doç. Dr. Nurdan Baykan
BIL403 | Algoritmalar | 4 | Prof. Dr. Halife Kodaz",https://www.ktun.edu.tr/tr/Birim/BolumDersleri/?brm=Vcw5fqYY6fahuCPJwVMF/A==
BÖLÜM DERSLERİ,DÖNEM 5,"Ders Kodu | Ders Adı | AKTS (ECTS) | Dersin Koordinatörü
BBF501 | Sayısal Yöntemler | 5 | Prof. Dr. Abdullah Selçuk Kurbanlı
BBF560 | Bilişim Hukuku | 3 | Murat Aydın
BBF561 | Finansal Okuryazarlık | 3 | Prof. Dr. İsmail Babaoğlu
BBF562 | Bilim Tarihi | 3 | Prof. Dr. Mustafa Servet Kıran
BIL501 | Mesleki Staj I | 2 | Dr. Öğr. Üyesi Alper Kılıç
BIL502 | İşletim Sistemleri | 4 | Dr. Öğr. Üyesi Alper Kılıç
BIL503 | Bilgisayar Organizasyonu | 4 | Doç. Dr. Ömer Kaan Baykan
BIL504 | Veritabanı Yönetim Sistemleri | 4 | Prof. Dr. Mesut Gündüz
BIL505 | Otomata Teorisi | 3 | Prof. Dr. Erkan Ülker
BIL530 | Bilgisayarla Grafik İşlemeye Giriş | 5 | Prof. Dr. Erkan Ülker
BIL531 | E-İş/E-Ticarete Giriş | 5 | Doç. Dr. Ersin Kaya
BIL532 | Web Programlama | 5 | Prof. Dr. İsmail Babaoğlu
BIL533 | Mikroişlemci Tabanlı Tasarım | 5 | Doç. Dr. Ahmet Babalık
BIL534 | Mantık Programlamaya Giriş | 5 | Doç. Dr. Ahmet Babalık
BIL535 | Yapay Zekâ | 5 | Prof. Dr. Mesut Gündüz
BIL536 | Dosya Yapıları | 5 | Prof. Dr. Halife Kodaz
BIL537 | Gömülü Programlama | 5 | Doç. Dr. Ahmet Babalık
BIL538 | Mobil Programlama | 5 | Dr. Öğr. Üyesi Hazim İşcan",https://www.ktun.edu.tr/tr/Birim/BolumDersleri/?brm=Vcw5fqYY6fahuCPJwVMF/A==
BÖLÜM DERSLERİ,DÖNEM 6,"Ders Kodu | Ders Adı | AKTS (ECTS) | Dersin Koordinatörü
BIL601 | Bilgisayar Ağları | 5 | Prof. Dr. Mesut Gündüz
BIL602 | İşaret ve Sistemler | 5 | Doç. Dr. Ömer Kaan Baykan
BIL603 | Bilişim Teknolojileri Uygulaması | 5 | Prof. Dr. Mustafa Servet Kıran
BIL604 | Programlama Dilleri Konsepti ve Tasarımı | 5 | Prof. Dr. Erkan Ülker
BIL630 | Yazılım Mühendisliğine Giriş | 5 | Dr. Öğr. Üyesi Hazim İşcan
BIL631 | İnsan-Bilgisayar Etkileşimi | 5 | Prof. Dr. Mustafa Servet Kıran
BIL632 | Sistem Yöneticiliği | 5 | Prof. Dr. Mustafa Servet Kıran
BIL633 | Kriptolojiye Giriş | 5 | Dr. Öğr. Üyesi Semiye Demircan
BIL634 | Mikrodenetleyiciler | 5 | Doç. Dr. Ahmet Babalık
BIL635 | Bilgisayar Mimarisi | 5 | Doç. Dr. Ömer Kaan Baykan
BIL636 | Veri Önişlemeye Giriş | 5 | Dr. Öğr. Üyesi Betül Uzbaş
BIL637 | İleri Programlama Dilleri | 5 | Prof. Dr. İsmail Babaoğlu
BIL638 | Yönetim Bilgi Sistemlerine Giriş | 5 | Prof. Dr. Erkan Ülker
BIL639 | Python Programlamaya Giriş | 5 | Dr. Öğr. Üyesi Hazim İşcan
BIL640 | Veri Biliminin Temelleri | 5 | Doç. Dr. Sait Ali Uymaz",https://www.ktun.edu.tr/tr/Birim/BolumDersleri/?brm=Vcw5fqYY6fahuCPJwVMF/A==
BÖLÜM DERSLERİ,DÖNEM 7,"Ders Kodu | Ders Adı | AKTS (ECTS) | Dersin Koordinatörü
BBF701 | İngilizce Okuma ve Yazma | 3 | Arş. Gör. Salimkan Fatma Taşkıran
BIL701 | Mesleki Staj II | 2 | Dr. Öğr. Üyesi Alper Kılıç
BIL702 | Bilgisayar Mühendisliği Uygulaması I | 5 | Prof. Dr. Mustafa Servet Kıran
BIL729 | Bilgisayar Mühendisliği Uygulaması II | 7 | Doç. Dr. Ömer Kaan Baykan
BIL730 | Biyomedikal Veri İşleme Teknikleri | 5 | Dr. Öğr. Üyesi Betül Uzbaş
BIL731 | Sayısal Görüntü İşleme | 5 | Doç. Dr. Ömer Kaan Baykan
BIL732 | Multimedya Sistemleri | 5 | Dr. Öğr. Üyesi Semiye Demircan
BIL733 | Ağ Programcılığı | 5 | Prof. Dr. Mesut Gündüz
BIL734 | XML ve Web Servisleri | 5 | Prof. Dr. İsmail Babaoğlu
BIL735 | Semantik Web | 5 | Prof. Dr. Halife Kodaz
BIL736 | Sistem Programlama | 5 | Prof. Dr. Mustafa Servet Kıran
BIL737 | VLSI Devre Tasarımı | 5 | Dr. Öğr. Üyesi Alper Kılıç
BIL738 | Gömülü Sistemler | 5 | Prof. Dr. Erkan Ülker
BIL739 | Uzman Sistemler | 5 | Dr. Öğr. Üyesi Semiye Demircan
BIL740 | Yapay Sinir Ağlarına Giriş | 5 | Dr. Öğr. Üyesi Betül Uzbaş
BIL741 | Evrimsel Hesaplamaya Giriş | 5 | Dr. Öğr. Üyesi Sedat Korkmaz
BIL742 | Nesneye Yönelik Tasarım ve Analiz | 5 | Prof. Dr. Harun Uğuz
BIL743 | Doğal Dil İşlemeye Giriş | 5 | Doç. Dr. Nurdan Baykan
BIL744 | İleri Yapısal Sorgulama Dili | 5 | Prof. Dr. Mustafa Servet Kıran
BIL745 | Bulut Bilişime Giriş | 5 | Doç. Dr. Sait Ali Uymaz
BIL746 | Oyun Programlama | 5 | Prof. Dr. Erkan Ülker
BIL747 | Temel Öğrenme Algoritmaları | 5 | Doç. Dr. Ersin Kaya
BIL748 | Uygulamalı Veri Bilimi | 5 | Doç. Dr. Sait Ali Uymaz",https://www.ktun.edu.tr/tr/Birim/BolumDersleri/?brm=Vcw5fqYY6fahuCPJwVMF/A==
BÖLÜM DERSLERİ,DÖNEM 8,"Ders Kodu | Ders Adı | AKTS (ECTS) | Dersin Koordinatörü
BBF801 | İngilizce Sunum Teknikleri | 3 | Arş. Gör. Salimkan Fatma Taşkıran
BIL801 | Bilgisayar Mühendisliği Uygulaması II | 7 | Prof. Dr. Mustafa Servet Kıran
BIL830 | Tıp Bilişimine Giriş | 5 | Dr. Öğr. Üyesi Betül Uzbaş
BIL831 | Biyoinformatik | 5 | Dr. Öğr. Üyesi Betül Uzbaş
BIL832 | Bilgisayarla Görmeye Giriş | 5 | Doç. Dr. Ömer Kaan Baykan
BIL833 | Mobil Hesaplama | 5 | Dr. Öğr. Üyesi Hazim İşcan
BIL834 | Yönlendirme ve Anahtarlama | 5 | Prof. Dr. Mesut Gündüz
BIL835 | Gezgin ve Kablosuz Ağlar | 5 | Prof. Dr. Mesut Gündüz
BIL836 | Dağıtık Sistemler | 5 | Dr. Öğr. Üyesi Alper Kılıç
BIL837 | Derleyici Tasarımı | 5 | Dr. Öğr. Üyesi Alper Kılıç
BIL838 | FPGA ile Sayısal Devre Tasarımı | 5 | Dr. Öğr. Üyesi Alper Kılıç
BIL839 | Bulanık Mantığın Temelleri | 5 | Doç. Dr. Ersin Kaya
BIL840 | Örüntü Tanımaya Giriş | 5 | Doç. Dr. Nurdan Baykan
BIL841 | Bilgi Mühendisliğine Giriş | 5 | Prof. Dr. Erkan Ülker
BIL842 | Simülasyon ve Modelleme | 5 | Doç. Dr. Nurdan Baykan
BIL843 | Algoritma Analizi | 5 | Prof. Dr. Harun Uğuz
BIL844 | Bilgi Güvenliği | 5 | Dr. Öğr. Üyesi Sedat Korkmaz
BIL845 | Paralel Sistemler ve Programlama | 5 | Dr. Öğr. Üyesi Hazim İşcan",https://www.ktun.edu.tr/tr/Birim/BolumDersleri/?brm=Vcw5fqYY6fahuCPJwVMF/A==
BÖLÜM TANITIMI,Tanıtım Tablosu 1,Dosya indirildi: veriler/bolum_tanitimi/Tablo_1.jpg,https://www.ktun.edu.tr/Dosyalar/1020/images/komisyon(1).png
