Sayfa_Adi;URL;Baslik;Icerik
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Bölüm Başkanı;Doç. Dr. Ahmet BABALIK
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Bölüm Başkan Yardımcısı;Doç. Dr. Ersin KAYA , Doç. Dr. Sait Ali UYMAZ
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Erasmus Koordinatör;Doç.Dr. Ersin KAYA
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Farabi Koordinatör;Dr. Öğr. Üyesi Sedat KORKMAZ
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Çift Anadal & Yandal Koordinatörü;Doç.Dr. Sait Ali UYMAZ
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Bölüm Tanıtım Videosu;Türkçe     English     Français     عربي
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Amacı;Bilgisayar Mühendisliği Bölümü, Bilgisayar Mühendisliği mesleğine temel ve daimi katkılarda bulunabilecek yeteneklere haiz mühendisler yetiştirmeyi hedeflemektedir. Programın daha ileri amacı ise öğrencilerine mezuniyetlerinden sonra da şahsi gelişimlerini devam ettirebilme yeteneğini kazandırmaktır. Bu lisans programı öğrencilerinin kavrama gücünü, uzmanlıklarını ve profesyonelliklerini sürekli geliştirmelerini sağlayacak gerekli teknik yeterlilikleri, araçları ve şahsi imkanları sağlama amacındadır. Ayrıca öğrencilerin ERASMUS ve FARABİ gibi uluslararası ve ulusal eğitim projelerine katılımları destekleyerek onlara uluslararası ve ulusal kültürel ve akademik kazanımları hedefler.
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Vizyon;Konya Teknik Üniversitesi Bilgisayar ve Bilişim Bilimleri Fakültesi Bilgisayar Mühendisliği Bölümünün vizyonu sırasıyla bölgemizde, ülkemizde ve uluslararası alanda bilgisayar bilimleri ve mühendisliği alanında bir mükemmeliyet merkezi haline gelmektir. Akademik kadrosunun zenginliği, uzmanlık alanlarının genişliği, açılan derslerin çeşitliliği, yapılan bilimsel yayın ve yürütülen proje sayısı, yüksek lisans ve doktora programlarının kalitesi, laboratuvar ve araştırma imkanları, uluslararası programlardaki ortaklıkları gibi birçok açıdan önde gelen ve iyi tanınan bir bölüm haline gelmektir.
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Misyon;Konya Teknik Üniversitesi Bilgisayar ve Bilişim Bilimleri Fakültesi Bilgisayar Mühendisliği Bölümünün misyonu yenilikçi ve özgün eğitim ve araştırma imkanları hazırlamak, bilgisayar mühendisliği alanındaki en güncel bilgilere sahip olmak, yeni bilgiler üretebilmek, bu bilgiyi yaymak ve gerektiğinde ürüne dönüştürmek, bilgisayar teknolojilerini takip ederek yetkin bir şekilde kullanabilen, problemlere bağımsız çözümler üretebilen, disiplinler arası çalışabilen bilgisayar mühendisleri yetiştirmektir.
Hakkımızda;https://www.ktun.edu.tr/tr/Birim/Hakkimizda/?brm=CjjgkdJ2kGZdNA6detUMmQ==;Program Dili;Türkçe
