Tarih;Baslik;Detayli_Icerik;Ek_Linkler;Indirilen_PDFler;Sayfa_URL
07.04.2026;Konya Büyükşehir Belediyesi Meclis Simülasyonu Etkinliği;[GÖRSEL İÇERİĞİ]: MB TINİSAN A 12 NİSAN Bosna Hersek Mh. Osmanlı Cd. Horozluhan, Yeni İstanb No: 2 Selçuklu/KONYA No:64, 42120 Selçukl Atmosfer Bosna Fen İşleri Dairesi Baş Başvurular Instagram Biyografimizde. buyuksehirgenclikmeclisi le şe;-;-;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/konya_bUyUkSehIr_beledIyesI_meclIs_sImUlasyonu_et_8119
02.04.2026;TUSAŞ HANGAR Programı Başvuruları Başladı;[GÖRSEL İÇERİĞİ]: 0 Çift Kullanım Amaçlı Yenilikçi Teknolojik Çözümler Odaklı İş Fikrin Mi Var? Innotalenttr Pi Doğrulama ve Fikri Mülkiyet İl Teknoloji ve Diital Kaynaklar Görünürlük ve 2 Kurma çin 2 Danışmanlığı Son Başvuru Tarihi 06/04/2026 o kariyer.tusas.com/hangar-bigg Pe /;-;-;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/tusaS_hangar_programi_baSvurulari_baSladi_8107
17.03.2026;TÜBİTAK BİGG 1. Aşama Başvuruları Başladı;[GÖRSEL İÇERİĞİ]: do TEA SANAM VE ağı ali 1-4 TÜBİTAK BİGG KN GOSB TEKNOPARK TÜBİTAK BİGG 1. Aşama Başvuruları Başladı! Fikrini Yatırıma Dönüştürmeye Hazır Mısın? BİGGÜSB Fikrini yatırıma dönüştür, 1. aşamaya güçlü başlar e VE, Üy aman N çi ba o Yatırım BAŞVUR Son Başvuru 22 Mart Başvurular PRODİS üzerinden gerçekleşecektir. Detaylı bilgi için: bigggosbteknopark.com;-;-;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/tUbItak_bIgg_1_aSama_baSvurulari_baSladi_8054
16.03.2026;2025-2026 Öğretim Yılı Bahar Yarıyılı Lisans Arasınav Programı;Lisans arasınav programı yayınlanmıştır. Sınav programlarına Menü / SınavProgramları bağlantısı üzerinden erişebilirsiniz.;-;-;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/2025_2026_OGretIm_yili_bahar_yariyili_lIsans_aras_8050
13.03.2026;2026 Staj Bilgilendirme Toplantısı Hak.;"Staj Yapacak Öğrencilerin Dikkatine
2026 yılı yaz stajı kapsamında staj bilgilendirme toplantısı gerçekleştirilecektir.
Staj sorumluluğu bulunan öğrencilerin (2. sınıfı tamamlamış veya tamamlayacak olan öğrenciler) toplantıya katılım sağlamaları beklenmektedir.
Toplantı Bilgileri:
Tarih: 17 Mart 2026, Salı
Saat: 12:15
Platform: Microsoft Teams
Toplantıya yalnızca @ktun.edu.tr uzantılı e-posta adresi ile giriş yapan öğrenciler katılım sağlayabilecektir.
Toplantı Linki:
https://teams.microsoft.com/meet/37843125233240?p=nXGEbpJwuPfZdzJf5a
Hatırlatma:
Ulusal Staj Programı başvuruları 16 Mart 2026 tarihinde sona erecektir. Staj yapmak isteyen öğrencilerin, toplantıdan önce başvurularını tamamlamaları tavsiye edilmektedir.
Staj toplantısı bilgisayar mühendisliği";https://teams.microsoft.com/meet/37843125233240?p=nXGEbpJwuPfZdzJf5a: https://teams.microsoft.com/meet/37843125233240?p=nXGEbpJwuPfZdzJf5a;-;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/2026__staj_bIlgIlendIrme_toplantisi_hak_8046
09.03.2026;42 Türkiye Başvuruları Başladı;42 Türkiye Başvurular için tıklayınız.;-;Duyuru_6_tiklayiniz.pdf;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/42_tUrkIye_baSvurulari_baSladi_8018
26.02.2026;3. Sınıf Bilişim Teknolojileri dersi öğrenci-danışman dağılım listesi (guncel);3. Sınıf Bilişim Teknolojileri dersi öğrenci-danışman dağılım listesi için tıklayınız.;-;Duyuru_7_tiklayiniz_.pdf;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/3_sinif_bIlISIm_teknolojIlerI_dersI_OGrencI_daniS_7955
26.02.2026;Bilgisayar Müh. Uyg-2 (Bitirme Prj-2) dersi öğrenci-danışman dağılım listesi;Bilgisayar Müh. Uyg-2 (Bitirme Prj-2) dersi öğrenci-danışman dağılım listesi tıklayınız.;-;Duyuru_8_tiklayiniz_.pdf;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/bIlgIsayar_mUh_uyg_2_(bItIrme_prj_2)_dersI_OGrenc_7983
29.01.2026;Lisans Haftalık Ders Programları;Lisans haftalık ders programları yayımlanmıştır. Ders programlarına Menü / Ders Programları bağlantısı üzerinden erişebilirsiniz;-;-;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/lIsans%C2%A0haftalik_ders_programlari%C2%A0_7844
29.01.2026;Lisansüstü Tezli Programlar Haftalık Ders Programı;Lisansüstü Tezli Programlar haftalık ders programı yayımlanmıştır. Ders programlarına Menü / Ders Programları bağlantısı üzerinden erişebilirsiniz.;-;-;https://www.ktun.edu.tr/tr/Birim/DuyuruDetay/lIsansUstU_tezlI_programlar_haftalik_ders_program_7842
